City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Date
212,Sitka,US,57.05,-135.33,53.6,87,90,4.7,light rain,2020-08-30 15:39:17
213,Longyearbyen,SJ,78.22,15.64,42.8,70,75,19.46,light intensity drizzle rain,2020-08-30 15:40:52
214,Vung Tau,VN,10.35,107.08,83.01,81,69,11.43,light rain,2020-08-30 15:40:53
215,Tautira,PF,-17.73,-149.15,71.6,73,20,5.82,few clouds,2020-08-30 15:40:53
216,Port Elizabeth,ZA,-33.92,25.57,51.8,81,40,8.05,scattered clouds,2020-08-30 15:40:53
217,Katobu,ID,-4.94,122.53,74.7,86,89,5.55,overcast clouds,2020-08-30 15:40:54
218,Jasper,US,37.2,-94.35,73.4,83,75,3.36,broken clouds,2020-08-30 15:40:54
219,Portland,US,45.52,-122.68,55.99,71,90,2.8,overcast clouds,2020-08-30 15:39:27
220,Rorvik,NO,64.86,11.24,51.8,76,40,10.29,shower rain,2020-08-30 15:40:54
221,Plettenberg Bay,ZA,-34.05,23.37,51.39,66,51,9.53,broken clouds,2020-08-30 15:33:28
222,Codrington,AU,-38.27,141.97,47.86,71,49,13.87,scattered clouds,2020-08-30 15:40:55
223,Golkoy,TR,40.69,37.62,77.0,83,75,6.93,broken clouds,2020-08-30 15:40:55
224,Khasan,RU,42.43,130.64,64.47,88,100,12.03,overcast clouds,2020-08-30 15:40:55
225,Broome,US,42.25,-75.83,64.0,77,90,12.75,overcast clouds,2020-08-30 15:40:55
226,Saint-Leu,RE,-21.15,55.28,71.6,73,11,21.92,few clouds,2020-08-30 15:40:56
227,Kingaroy,AU,-26.53,151.83,42.8,93,0,0.83,clear sky,2020-08-30 15:40:56
228,Talnakh,RU,69.49,88.4,48.2,100,40,13.42,mist,2020-08-30 15:36:05
229,Angostura,MX,25.37,-108.18,88.0,76,60,1.99,broken clouds,2020-08-30 15:40:56
230,Chiredzi,ZW,-21.05,31.67,77.25,56,2,7.54,clear sky,2020-08-30 15:40:57
231,Sabang,ID,5.89,95.32,83.8,76,100,14.45,overcast clouds,2020-08-30 15:40:57
232,Sao Felix Do Xingu,BR,-6.64,-51.99,102.2,19,0,5.26,clear sky,2020-08-30 15:40:57
233,Palmer,US,42.16,-72.33,77.0,43,40,19.46,scattered clouds,2020-08-30 15:40:58
234,Saint George,US,37.1,-113.58,82.99,36,1,3.36,clear sky,2020-08-30 15:40:58
235,Villa Rica,US,33.73,-84.92,84.0,78,40,8.05,scattered clouds,2020-08-30 15:40:58
236,Ormara,PK,25.21,64.64,82.22,85,26,15.75,scattered clouds,2020-08-30 15:40:59
237,Nemuro,JP,43.32,145.57,55.67,80,96,15.79,overcast clouds,2020-08-30 15:40:59
238,Port-Gentil,GA,-0.72,8.78,80.6,74,40,17.11,scattered clouds,2020-08-30 15:36:29
239,Te Anau,NZ,-45.42,167.72,47.7,75,42,10.54,scattered clouds,2020-08-30 15:41:00
240,Kapoeta,SS,4.77,33.59,82.26,52,45,6.85,scattered clouds,2020-08-30 15:41:00
241,Carutapera,BR,-1.2,-46.02,84.51,71,60,12.17,broken clouds,2020-08-30 15:36:15
242,Young,UY,-32.68,-57.63,54.0,48,36,1.99,scattered clouds,2020-08-30 15:41:00
243,Biltine,TD,14.53,20.92,86.34,55,89,6.17,overcast clouds,2020-08-30 15:41:00
244,Adrar,MR,20.5,-10.07,101.79,8,30,12.57,scattered clouds,2020-08-30 15:34:04
245,Khani,GE,41.96,42.96,80.6,69,0,16.11,clear sky,2020-08-30 15:35:53
246,Srednekolymsk,RU,67.45,153.68,38.03,84,17,4.74,few clouds,2020-08-30 15:41:01
247,Cap Malheureux,MU,-19.98,57.61,72.0,75,1,7.0,clear sky,2020-08-30 15:41:01
248,Elliot,ZA,-31.33,27.85,38.93,60,0,4.83,clear sky,2020-08-30 15:41:01
249,Tomelloso,ES,39.15,-3.02,69.01,27,0,4.0,clear sky,2020-08-30 15:41:02
